id_cliente,nombre,edad,ciudad,segmento,fecha_alta,activo
6262,marcos r.,23.0,limpio,premium,2024-09-16,True
9446,marcos r.,,asunción,standard,2024-11-26,False
9871,maría p.,,fernando,standard,2024-12-04,False
6451,luis gómez,42.0,luque,standard,2024-06-27,True
9691,diego s.,15.0,fernando,standard,2024-05-22,True
5037,luis gómez,32.0,asuncion,standard,2024-12-12,True
7844,luis gómez,,asuncion,premium,2024-06-15,False
8510,sofía,,fernando,standard,2024-07-21,True
5475,luis gómez,29.0,luque,standard,2024-02-19,True
6897,carla díaz,26.0,luque,standard,2024-05-28,True
2244,marcos r.,41.0,san lorenzo,standard,2024-11-03,False
1209,marcos r.,51.0,luque,premium,2024-09-24,True
5911,lucía m.,,san lorenzo,premium,2024-02-15,False
4928,diego s.,,san lorenzo,premium,2024-04-19,False
968,pedro silva,6.0,asunción,standard,2024-11-09,False
6273,carla díaz,66.0,luque,premium,2024-06-27,True
8153,ana lópez,,fernando,standard,2024-01-18,True
4933,carla díaz,,asuncion,standard,2024-02-01,True
6306,maría p.,51.0,limpio,premium,2024-03-08,True
2789,marcos r.,3.0,limpio,standard,2024-11-13,True
3271,pedro silva,58.0,fernando,standard,2024-11-22,True
4851,pedro silva,,asunción,standard,2024-04-10,False
7887,lucía m.,44.0,asuncion,standard,2024-10-28,True
9406,carla díaz,,asuncion,standard,2024-02-26,False
1989,ana lópez,,asunción,standard,2024-09-17,True
290,juan r.,,san lorenzo,premium,2024-06-06,True
2518,lucía m.,56.0,limpio,premium,2024-04-08,False
6584,juan r.,27.0,asuncion,premium,2024-11-23,True
6868,carla díaz,,san lorenzo,standard,2024-08-24,False
2056,luis gómez,29.0,luque,premium,2024-04-01,False
2540,lucía m.,9.0,asunción,premium,2024-01-21,True
4842,marcos r.,,san lorenzo,standard,2024-10-06,True
4852,carla díaz,61.0,limpio,premium,2024-02-11,True
7188,ana lópez,25.0,limpio,standard,2024-08-22,True
3590,pedro silva,9.0,limpio,standard,2024-12-10,True
8221,marcos r.,51.0,luque,standard,2024-10-11,True
6050,juan r.,,limpio,premium,2024-09-09,True
2265,maría p.,47.0,san lorenzo,premium,2024-03-19,False
4163,diego s.,9.0,asunción,standard,2024-07-03,True
3053,lucía m.,,asunción,premium,2024-09-04,True
2512,maría p.,7.0,san lorenzo,premium,2024-06-14,True
740,lucía m.,44.0,fernando,premium,2024-10-05,True
4012,marcos r.,8.0,asuncion,standard,2024-06-23,True
7711,carla díaz,52.0,luque,standard,2024-07-08,True
1409,pedro silva,,fernando,standard,2024-09-07,True
2369,marcos r.,8.0,asunción,premium,2024-03-27,True
7965,luis gómez,8.0,fernando,premium,2024-10-06,True
1641,carla díaz,7.0,san lorenzo,standard,2024-07-26,True
8943,carla díaz,,luque,premium,2024-03-14,True
9078,marcos r.,,luque,standard,2024-10-27,False
7089,juan r.,2.0,fernando,standard,2024-03-10,False
7498,maría p.,,fernando,premium,2024-11-02,False
4087,marcos r.,7.0,asunción,standard,2024-05-11,True
2560,carla díaz,0.0,luque,premium,2024-01-20,True
2388,ana lópez,,asunción,standard,2024-07-16,False
4365,diego s.,2.0,asuncion,standard,2024-02-28,True
9902,lucía m.,,limpio,standard,2024-07-02,False
2607,maría p.,19.0,fernando,standard,2024-04-23,True
40,diego s.,52.0,asuncion,standard,2024-04-28,True
7620,maría p.,,san lorenzo,standard,2024-08-13,True
1583,carla díaz,59.0,limpio,standard,2024-11-17,True
6880,sofía,,fernando,standard,2024-10-11,False
8059,juan r.,57.0,fernando,standard,2024-02-03,True
3832,maría p.,5.0,asuncion,standard,2024-11-12,True
7011,maría p.,11.0,asuncion,premium,2024-07-16,False
2953,carla díaz,,luque,standard,2024-09-04,True
