id_cliente,nombre,edad,ciudad,segmento,fecha_alta,activo
6262,Marcos R.,23,Limpio,premium,16-09-2024,YES
9446,Marcos R.,"""50""",Asunción,standard,26-11-2024,NO
9871,María P.,"""29""",Fernando,standard,2024/12/04,NO
6451,Luis Gómez,42,Luque,STANDARD,2024/06/27,yes
9691,Diego S.,15,Fernando,standard,05-22-2024,YES
5037,Luis Gómez,32,Asuncion,STANDARD,12-12-2024,yes
7844,Luis Gómez,"""62""",Asuncion,PREMIUM,15-06-2024,no
8510,Sofía,"""60""",Fernando,standard,21-07-2024,yes
5475,Luis Gómez,29,Luque,standard,2024/02/19,Yes
6897,Carla Díaz,26,Luque,STANDARD,2024/05/28,Yes
2244,Marcos R.,41,San Lorenzo,Standard,2024/11/03,no
1209,Marcos R.,51,Luque,PREMIUM,2024/09/24,Yes
5911,Lucía M.,"""63""",San Lorenzo,PREMIUM,15-02-2024,NO
4928,Diego S.,"""64""",San Lorenzo,PREMIUM,04-19-2024,NO
968,Pedro Silva,6,Asunción,Standard,09/11/2024,NO
6273,Carla Díaz,66,Luque,premium,2024/06/27,YES
8153,Ana López,"""69""",Fernando,Standard,2024/01/18,YES
4933,Carla Díaz,"""26""",Asuncion,STANDARD,01-02-2024,yes
6306,María P.,51,Limpio,premium,2024/03/08,yes
2789,Marcos R.,3,Limpio,STANDARD,2024/11/13,YES
3271,Pedro Silva,58,Fernando,Standard,11-22-2024,Yes
4851,Pedro Silva,-2,Asunción,STANDARD,10/04/2024,NO
7887,Lucía M.,44,Asuncion,Standard,28/10/2024,Yes
9406,Carla Díaz,"""43""",Asuncion,Standard,26-02-2024,NO
1989,Ana López,-4,Asunción,standard,2024/09/17,yes
290,Juan R.,"""58""",San Lorenzo,PREMIUM,2024/06/06,yes
2518,Lucía M.,56,Limpio,PREMIUM,08-04-2024,NO
6584,Juan R.,27,Asuncion,PREMIUM,23/11/2024,Yes
6868,Carla Díaz,"""57""",San Lorenzo,STANDARD,24-08-2024,NO
2056,Luis Gómez,29,Luque,premium,01-04-2024,NO
2540,Lucía M.,9,Asunción,premium,21-01-2024,YES
4842,Marcos R.,"""32""",San Lorenzo,Standard,06-10-2024,YES
4852,Carla Díaz,61,Limpio,PREMIUM,11-02-2024,yes
7188,Ana López,25,Limpio,STANDARD,2024/08/22,YES
3590,Pedro Silva,9,Limpio,Standard,10/12/2024,YES
8221,Marcos R.,51,Luque,STANDARD,2024/10/11,Yes
6050,Juan R.,-1,Limpio,PREMIUM,09-09-2024,Yes
2265,María P.,47,San Lorenzo,premium,19/03/2024,no
4163,Diego S.,9,Asunción,standard,03-07-2024,Yes
3053,Lucía M.,"""18""",Asunción,PREMIUM,04/09/2024,YES
2512,María P.,7,San Lorenzo,premium,2024/06/14,YES
740,Lucía M.,44,Fernando,PREMIUM,05-10-2024,Yes
4012,Marcos R.,8,Asuncion,standard,23/06/2024,YES
7711,Carla Díaz,52,Luque,standard,08-07-2024,YES
1409,Pedro Silva,"""55""",Fernando,Standard,07/09/2024,YES
2369,Marcos R.,8,Asunción,premium,27-03-2024,Yes
7965,Luis Gómez,8,Fernando,premium,06/10/2024,yes
